Category	Article		Visibility	Translations	Move to One.liferay	Learn Location	Content Type	Needs Design	Learn Implementation Comments	URL Path	Tickets
	Before Opening a Document Library Ticket	TRUE	Customers	PT	no	Knowledge Base	Troubleshooting				
	Before Opening a User Interface (UI) Ticket	TRUE	Customers	PT	no	Knowledge Base	Troubleshooting				
	Before Opening a Shutdown/Inoperable System Ticket	TRUE	Customers	PT	no	Knowledge Base	Troubleshooting				
	Before Opening a Clustering Ticket	TRUE	Customers	PT	no	Knowledge Base	Troubleshooting				
	Before Opening a Liferay Performance Ticket	TRUE	Customers	PT	no	Knowledge Base	Troubleshooting				
	Before Opening a Web Content Management Ticket	TRUE	Customers	PT	no	Knowledge Base	Troubleshooting				
											
Announcements	Introducing the New DXP Release Notes Experience	TRUE	Customers	JP	no*	Course (Onboarding)	Lesson	FALSE	In the onboarding course, add a lesson on how to find and navigate Liferay release notes (DXP, Commerce, Cloud, etc.)		
	Liferay is Updating the Names of Its Offerings	TRUE	Everyone	JP, PT, ES, CN	no	Docs (Reference)	Learn Article	FALSE	We could include the historical names in our Learn glossary once it is complete, like a parentheical, e.g.,  (formerly Liferay Experience cloud)	learn.liferay.com/w/reference/glossary	
	All articles in this section	TRUE	Everyone		no	Docs (TBD)	Learn Article	FALSE	We'll need to address this material on a case-by-case basis; Some content is just for one.liferay; other material could be represented in docs.	TBD - Source URL 404	
								FALSE			
Liferay Enterprise Search	All articles in this section	TRUE	Customers		no	Docs	Search docs	FALSE	Comb through this content and ensure all relevant material is addressed in the search documentation.	learn.liferay.com/w/dxp/search	
											
Security	Security Overview	TRUE	Customers	JP	no	New Section	Documentations 	TRUE	Access this page from the Security Advisories page (e.g., Understand Liferay's Security Posture)	New learn.liferay.com/w/updates/security-advisories/security-posture	
	Elastic Stack and Liferay Enterprise Search [LES] Security Advisories	TRUE	Customers		no	New Section	Documentations 	TRUE	New Security Advisories page that looks like this. Maybe Gated (not always the best idea to list vulnerabilities?)	New learn.liferay.com/w/updates/security-advisories	
	All articles in this Security Alert section (~90 articles)	TRUE	Customers		no	New Section	Documentations 	TRUE	New Security Advisories page that looks like this. Maybe Gated (not always the best idea to list vulnerabilities?)	New learn.liferay.com/w/updates/security-advisories	
	Security Vulnerability Page  		Customers		no	New Section	Custom search Page - content comes from JIRA 	TRUE	New Security Advisories page that looks like this. Maybe Gated (not always the best idea to list vulnerabilities?)	New learn.liferay.com/w/updates/security-advisories	
											
Release Notes	All articles in this Liferay Cloud Platform section	TRUE	Everyone		no	New Section	Release Note	TRUE	New Release Notes page that is like this; new content structure (Release Note); gate platform changelog, but ungate service changelog	New learn.liferay.com/w/updates/release-notes/cloud-infrastructure with sections or filters for platform changelog and service changelog	
	All articles in this section	TRUE	Everyone		no	New Section	??? (Gated?)	TRUE	New Release Notes page that is like this; gate platform changelog, but ungate service changelog	New learn.liferay.com/w/updates/release-notes/cloud-infrastructure/platform	
	All articles in this section	TRUE	Everyone		no	New Section	???	TRUE	New Release Notes page that is like this; gate platform changelog, but ungate service changelog	New learn.liferay.com/w/updates/release-notes/cloud-infrastructure/services	
	All articles in this section	FALSE	Everyone		no	New Section	???	TRUE		New learn.liferay.com/w/updates/release-notes/analytics-cloud	
	Current Quarterly Release Notes on support.liferay.com/release-notes plus old release notes, version comparison, module changes on customer.liferay	FALSE	Everyone		no	New Section	???	TRUE	New Release Notes page that is like this	New learn.liferay.com/w/updates/release-notes/liferay-dxp	
	Comparison Tool (DXP, Commerce)	FALSE	Customers		no	New Section	???	TRUE		New learn.liferay.com/w/updates/release-notes/compare	
	Downloads Page		Customers		no 	New Section		TRUE	We should rebuild a page that points directly to release.lifreay.com 	http://learn.liferay.com/w/updates/release-notes#downloads	
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
								FALSE			
